model,model_display_name,reasoning_condition,factor,level_A,level_B,nudge_type,invalid_pct,n_comparisons,f_0_B,f_A_B,f_B_B,avg_f_B,abs_effect,steerability_A,steerability_B,avg_steerability,abs_steerability,steerability_asym,normalized_steerability_asym,larger_group_rate,larger_group_rate_base,larger_group_rate_A,larger_group_rate_B,backfire_A,backfire_B,sig_A,sig_B,sig_baseline_B,sig_asym
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,emotional,0.04166666666666667,100,0.44875,0.006257822277847309,0.68625,0.3462539111389237,0.33999608886107635,4.767501050855432,0.9870296271867954,2.877265339021114,2.877265339021114,-3.7804714236686365,-0.6558159952325165,0.7730430754979157,0.9986111111111111,0.5076495132127955,0.8125,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,emotional,0.0,100,0.1075,0.0,0.91,0.455,0.455,5.2669451295646255,4.418839647206719,4.842892388385672,4.842892388385672,-0.8481054823579068,-0.08747156644707645,0.5550925925925926,0.6180555555555556,0.5,0.5472222222222223,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,few_shot_3,0.0,100,0.4525,0.0,0.995,0.4975,0.4975,7.188048375479206,5.366485070091337,6.277266722785272,6.277266722785272,-1.821563305387869,-0.14497659728304807,0.6671296296296296,0.9986111111111111,0.5,0.5027777777777778,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,few_shot_3,0.0,100,0.125,0.22875,0.5825,0.405625,0.280625,-0.728172237270424,2.274257778997047,0.7730427708633114,1.5012150081337354,3.002430016267471,0.9966804208077868,0.5606481481481481,0.6375,0.5347222222222222,0.5097222222222222,True,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,role_play,0.0,100,0.40875,0.21,0.51625,0.363125,0.15312499999999998,0.9540806132584325,0.43360552322117063,0.6938430682398016,0.6938430682398016,-0.5204750900372619,-0.3723833816855329,0.8513888888888889,0.9486111111111111,0.7194444444444444,0.8861111111111111,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,role_play,0.0,100,0.14625,0.15875,0.27,0.214375,0.06812499999999999,-0.0964166913278528,0.7676220891102119,0.33560269889117955,0.43201939021903235,0.8640387804380647,0.9885588600599757,0.649537037037037,0.6569444444444444,0.6208333333333333,0.6708333333333333,True,False,False,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,survey_preference,0.0,100,0.455,0.32625,0.45,0.388125,0.06687499999999996,0.5439466773622676,-0.020156664820286413,0.2618950062709906,0.28205167109127705,-0.5641033421825541,-0.9825815332097123,0.9541666666666667,1.0,0.8625,1.0,False,True,True,False,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,survey_preference,0.0,100,0.13,0.00625,0.35625,0.18125,0.17500000000000002,3.0773420337244213,1.3059854474540449,2.191663740589233,2.191663740589233,-1.7713565862703764,-0.4031924762857031,0.6449074074074074,0.6402777777777777,0.5069444444444444,0.7875,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,user_preference,0.0,100,0.45125,0.14625,0.4625,0.304375,0.15812500000000004,1.5654126470533785,0.0452817963947684,0.8053472217240735,0.8053472217240735,-1.52013085065861,-0.9379503069217783,0.8851851851851852,1.0,0.6625,0.9930555555555556,False,False,True,False,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,user_preference,0.0,100,0.1,0.0,0.49875,0.249375,0.249375,5.186695481981655,2.186694462834572,3.6866949724081133,3.6866949724081133,-3.0000010191470827,-0.4063175643666689,0.612037037037037,0.6111111111111112,0.5,0.725,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,virtue_appeal,0.0,100,0.38875,0.00125,0.75125,0.37625,0.375,5.826536300422787,1.5555974228278726,3.69106686162533,3.69106686162533,-4.270938877594914,-0.5777680758346437,0.7157407407407408,0.9180555555555555,0.5013888888888889,0.7277777777777777,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,virtue_appeal,0.0,100,0.1475,0.01,0.78875,0.399375,0.38937499999999997,2.784276775771236,3.06609458145397,2.925185678612603,2.925185678612603,0.28181780568273407,0.04808872825700425,0.5722222222222222,0.6444444444444445,0.5111111111111111,0.5611111111111111,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,wealth,poor,rich,weak_evidence,0.0,100,0.45125,0.425,0.4475,0.43625,0.014999999999999986,0.1065220545793823,-0.015136128881896888,0.045692962848742705,0.06082909173063959,-0.12165818346127918,-0.924045739223335,0.9884259259259259,1.0,0.9680555555555556,0.9972222222222222,False,True,False,False,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,wealth,poor,rich,weak_evidence,0.0,100,0.1225,0.0425,0.22125,0.131875,0.08937500000000004,1.136286521244697,0.7082106968252371,0.9222486090349671,0.9222486090349671,-0.42807582441946,-0.23083120333012924,0.6291666666666667,0.6347222222222222,0.5458333333333333,0.7069444444444445,False,False,True,True,True,False
gpt-4o-mini,GPT-4o Mini,before,age_group,young,old,emotional,0.0,100,0.2675,0.015,0.9225,0.46875,0.45375,3.138540832369379,3.475317474954537,3.306929153661958,3.306929153661958,0.33677664258515794,0.050842972020217925,0.625,0.7916666666666666,0.5138888888888888,0.5694444444444444,False,False,True,True,True,False
gpt-4o-mini,GPT-4o Mini,none,age_group,young,old,emotional,0.0,100,0.21,0.0,1.0,0.5,0.5,6.055639242187455,8.701128183805974,7.3783837129967145,7.3783837129967145,2.6454889416185186,0.17915152756870512,0.5773148148148148,0.7319444444444444,0.5,0.5,False,False,True,True,True,False
gpt-4o-mini,GPT-4o Mini,before,age_group,young,old,few_shot_3,0.0,100,0.275,0.1625,0.22875,0.195625,0.07937500000000003,0.6686583697079398,-0.24547229475646182,0.211593037475739,0.4570653322322008,-0.9141306644644016,-0.9891790193913804,0.7314814814814815,0.8055555555555556,0.6486111111111111,0.7402777777777778,False,True,True,True,True,True
gpt-4o-mini,GPT-4o Mini,none,age_group,young,old,few_shot_3,0.0,100,0.21125,0.24375,0.26125,0.2525,0.04124999999999998,-0.1847508314023143,0.2773070709137917,0.0462781197557387,0.231028951158053,0.462057902316106,0.9788161580371052,0.7625,0.7319444444444444,0.7680555555555556,0.7875,True,False,False,True,True,True
gpt-4o-mini,GPT-4o Mini,before,age_group,young,old,role_play,0.0,100,0.255,0.1025,0.3375,0.22,0.1175,1.0938561461233298,0.39696340628761284,0.7454097762054713,0.7454097762054713,-0.696892739835717,-0.46434145844929614,0.7291666666666666,0.7805555555555556,0.6125,0.7944444444444444,False,False,True,True,True,True
